date,region,equipment_type,units_active,new_bookings,bulk_units,month,day_of_week,day_of_year,season,is_weekend
2023-01-01,West_Coast,Bulldozer,0,0,0,1,6,1,winter,1
2023-01-01,West_Coast,Crane,0,0,0,1,6,1,winter,1
2023-01-01,West_Coast,Grader,1,1,0,1,6,1,winter,1
2023-01-01,West_Coast,Loader,0,0,0,1,6,1,winter,1
2023-01-01,West_Coast,Dump_Truck,0,0,0,1,6,1,winter,1
2023-01-01,West_Coast,Snow_Remover,3,3,0,1,6,1,winter,1
2023-01-01,West_Coast,Concrete_Mixer,5,5,0,1,6,1,winter,1
2023-01-01,West_Coast,Generator,0,0,0,1,6,1,winter,1
2023-01-01,West_Coast,Compactor,0,0,0,1,6,1,winter,1
2023-01-01,West_Coast,Drill_Rig,0,0,0,1,6,1,winter,1
2023-01-02,Northeast_US,Excavator,0,0,0,1,0,2,winter,0
2023-01-02,Northeast_US,Bulldozer,0,0,0,1,0,2,winter,0
2023-01-02,Northeast_US,Crane,0,0,0,1,0,2,winter,0
2023-01-02,Northeast_US,Grader,0,0,0,1,0,2,winter,0
2023-01-02,Northeast_US,Loader,0,0,0,1,0,2,winter,0
2023-01-02,Northeast_US,Dump_Truck,0,0,0,1,0,2,winter,0
2023-01-02,Northeast_US,Snow_Remover,0,0,0,1,0,2,winter,0
2023-01-02,Northeast_US,Concrete_Mixer,0,0,0,1,0,2,winter,0
2023-01-02,Northeast_US,Generator,0,0,0,1,0,2,winter,0
2023-01-02,Northeast_US,Compactor,0,0,0,1,0,2,winter,0
2023-01-02,Northeast_US,Drill_Rig,0,0,0,1,0,2,winter,0
2023-01-02,Midwest_US,Excavator,0,0,0,1,0,2,winter,0
2023-01-02,Midwest_US,Bulldozer,0,0,0,1,0,2,winter,0
2023-01-02,Midwest_US,Crane,0,0,0,1,0,2,winter,0
2023-01-02,Midwest_US,Grader,0,0,0,1,0,2,winter,0
2023-01-02,Midwest_US,Loader,0,0,0,1,0,2,winter,0
2023-01-02,Midwest_US,Dump_Truck,0,0,0,1,0,2,winter,0
2023-01-02,Midwest_US,Snow_Remover,0,0,0,1,0,2,winter,0
2023-01-02,Midwest_US,Concrete_Mixer,0,0,0,1,0,2,winter,0
2023-01-02,Midwest_US,Generator,0,0,0,1,0,2,winter,0
2023-01-02,Midwest_US,Compactor,0,0,0,1,0,2,winter,0
2023-01-02,Midwest_US,Drill_Rig,0,0,0,1,0,2,winter,0
2023-01-02,Southeast_US,Excavator,0,0,0,1,0,2,winter,0
2023-01-02,Southeast_US,Bulldozer,0,0,0,1,0,2,winter,0
2023-01-02,Southeast_US,Crane,0,0,0,1,0,2,winter,0
2023-01-02,Southeast_US,Grader,0,0,0,1,0,2,winter,0
2023-01-02,Southeast_US,Loader,20,0,0,1,0,2,winter,0
2023-01-02,Southeast_US,Dump_Truck,0,0,0,1,0,2,winter,0
2023-01-02,Southeast_US,Snow_Remover,2,2,0,1,0,2,winter,0
2023-01-02,Southeast_US,Concrete_Mixer,0,0,0,1,0,2,winter,0
2023-01-02,Southeast_US,Generator,0,0,0,1,0,2,winter,0
2023-01-02,Southeast_US,Compactor,0,0,0,1,0,2,winter,0
2023-01-02,Southeast_US,Drill_Rig,0,0,0,1,0,2,winter,0
2023-01-02,Southwest_US,Excavator,15,15,0,1,0,2,winter,0
2023-01-02,Southwest_US,Bulldozer,1,0,0,1,0,2,winter,0
2023-01-02,Southwest_US,Crane,0,0,0,1,0,2,winter,0
2023-01-02,Southwest_US,Grader,23,23,23,1,0,2,winter,0
2023-01-02,Southwest_US,Loader,0,0,0,1,0,2,winter,0
2023-01-02,Southwest_US,Dump_Truck,0,0,0,1,0,2,winter,0
2023-01-02,Southwest_US,Snow_Remover,4,4,0,1,0,2,winter,0
2023-01-02,Southwest_US,Concrete_Mixer,0,0,0,1,0,2,winter,0
2023-01-02,Southwest_US,Generator,2,2,0,1,0,2,winter,0
2023-01-02,Southwest_US,Compactor,0,0,0,1,0,2,winter,0
2023-01-02,Southwest_US,Drill_Rig,0,0,0,1,0,2,winter,0
2023-01-02,West_Coast,Excavator,20,0,0,1,0,2,winter,0
2023-01-02,West_Coast,Bulldozer,0,0,0,1,0,2,winter,0
2023-01-02,West_Coast,Crane,0,0,0,1,0,2,winter,0
2023-01-02,West_Coast,Grader,1,0,0,1,0,2,winter,0
2023-01-02,West_Coast,Loader,0,0,0,1,0,2,winter,0
2023-01-02,West_Coast,Dump_Truck,0,0,0,1,0,2,winter,0
2023-01-02,West_Coast,Snow_Remover,3,0,0,1,0,2,winter,0
2023-01-02,West_Coast,Concrete_Mixer,5,0,0,1,0,2,winter,0
2023-01-02,West_Coast,Generator,0,0,0,1,0,2,winter,0
2023-01-02,West_Coast,Compactor,0,0,0,1,0,2,winter,0
2023-01-02,West_Coast,Drill_Rig,0,0,0,1,0,2,winter,0
2023-01-03,Northeast_US,Excavator,0,0,0,1,1,3,winter,0
2023-01-03,Northeast_US,Bulldozer,0,0,0,1,1,3,winter,0
2023-01-03,Northeast_US,Crane,0,0,0,1,1,3,winter,0
2023-01-03,Northeast_US,Grader,0,0,0,1,1,3,winter,0
2023-01-03,Northeast_US,Loader,0,0,0,1,1,3,winter,0
2023-01-03,Northeast_US,Dump_Truck,0,0,0,1,1,3,winter,0
2023-01-03,Northeast_US,Snow_Remover,0,0,0,1,1,3,winter,0
2023-01-03,Northeast_US,Concrete_Mixer,0,0,0,1,1,3,winter,0
2023-01-03,Northeast_US,Generator,0,0,0,1,1,3,winter,0
2023-01-03,Northeast_US,Compactor,0,0,0,1,1,3,winter,0
2023-01-03,Northeast_US,Drill_Rig,0,0,0,1,1,3,winter,0
2023-01-03,Midwest_US,Excavator,0,0,0,1,1,3,winter,0
2023-01-03,Midwest_US,Bulldozer,0,0,0,1,1,3,winter,0
2023-01-03,Midwest_US,Crane,0,0,0,1,1,3,winter,0
2023-01-03,Midwest_US,Grader,0,0,0,1,1,3,winter,0
2023-01-03,Midwest_US,Loader,0,0,0,1,1,3,winter,0
2023-01-03,Midwest_US,Dump_Truck,0,0,0,1,1,3,winter,0
2023-01-03,Midwest_US,Snow_Remover,0,0,0,1,1,3,winter,0
2023-01-03,Midwest_US,Concrete_Mixer,0,0,0,1,1,3,winter,0
2023-01-03,Midwest_US,Generator,0,0,0,1,1,3,winter,0
2023-01-03,Midwest_US,Compactor,0,0,0,1,1,3,winter,0
2023-01-03,Midwest_US,Drill_Rig,0,0,0,1,1,3,winter,0
2023-01-03,Southeast_US,Excavator,0,0,0,1,1,3,winter,0
2023-01-03,Southeast_US,Bulldozer,0,0,0,1,1,3,winter,0
2023-01-03,Southeast_US,Crane,0,0,0,1,1,3,winter,0
2023-01-03,Southeast_US,Grader,0,0,0,1,1,3,winter,0
2023-01-03,Southeast_US,Loader,20,0,0,1,1,3,winter,0
2023-01-03,Southeast_US,Dump_Truck,0,0,0,1,1,3,winter,0
2023-01-03,Southeast_US,Snow_Remover,10,8,0,1,1,3,winter,0
2023-01-03,Southeast_US,Concrete_Mixer,0,0,0,1,1,3,winter,0
2023-01-03,Southeast_US,Generator,0,0,0,1,1,3,winter,0
2023-01-03,Southeast_US,Compactor,0,0,0,1,1,3,winter,0
2023-01-03,Southeast_US,Drill_Rig,0,0,0,1,1,3,winter,0
2023-01-03,Southwest_US,Excavator,15,0,0,1,1,3,winter,0
2023-01-03,Southwest_US,Bulldozer,1,0,0,1,1,3,winter,0
2023-01-03,Southwest_US,Crane,0,0,0,1,1,3,winter,0
2023-01-03,Southwest_US,Grader,23,0,23,1,1,3,winter,0
2023-01-03,Southwest_US,Loader,0,0,0,1,1,3,winter,0
2023-01-03,Southwest_US,Dump_Truck,0,0,0,1,1,3,winter,0
2023-01-03,Southwest_US,Snow_Remover,4,0,0,1,1,3,winter,0
2023-01-03,Southwest_US,Concrete_Mixer,0,0,0,1,1,3,winter,0
2023-01-03,Southwest_US,Generator,2,0,0,1,1,3,winter,0
2023-01-03,Southwest_US,Compactor,0,0,0,1,1,3,winter,0
2023-01-03,Southwest_US,Drill_Rig,0,0,0,1,1,3,winter,0
2023-01-03,West_Coast,Excavator,20,0,0,1,1,3,winter,0
2023-01-03,West_Coast,Bulldozer,0,0,0,1,1,3,winter,0
2023-01-03,West_Coast,Crane,0,0,0,1,1,3,winter,0
2023-01-03,West_Coast,Grader,1,0,0,1,1,3,winter,0
2023-01-03,West_Coast,Loader,15,15,0,1,1,3,winter,0
2023-01-03,West_Coast,Dump_Truck,0,0,0,1,1,3,winter,0
2023-01-03,West_Coast,Snow_Remover,3,0,0,1,1,3,winter,0
2023-01-03,West_Coast,Concrete_Mixer,5,0,0,1,1,3,winter,0
2023-01-03,West_Coast,Generator,0,0,0,1,1,3,winter,0
2023-01-03,West_Coast,Compactor,0,0,0,1,1,3,winter,0
2023-01-03,West_Coast,Drill_Rig,0,0,0,1,1,3,winter,0
2023-01-04,Northeast_US,Excavator,0,0,0,1,2,4,winter,0
2023-01-04,Northeast_US,Bulldozer,0,0,0,1,2,4,winter,0
2023-01-04,Northeast_US,Crane,0,0,0,1,2,4,winter,0
2023-01-04,Northeast_US,Grader,0,0,0,1,2,4,winter,0
2023-01-04,Northeast_US,Loader,0,0,0,1,2,4,winter,0
2023-01-04,Northeast_US,Dump_Truck,0,0,0,1,2,4,winter,0
2023-01-04,Northeast_US,Snow_Remover,0,0,0,1,2,4,winter,0
2023-01-04,Northeast_US,Concrete_Mixer,0,0,0,1,2,4,winter,0
2023-01-04,Northeast_US,Generator,0,0,0,1,2,4,winter,0
2023-01-04,Northeast_US,Compactor,0,0,0,1,2,4,winter,0
2023-01-04,Northeast_US,Drill_Rig,0,0,0,1,2,4,winter,0
2023-01-04,Midwest_US,Excavator,0,0,0,1,2,4,winter,0
2023-01-04,Midwest_US,Bulldozer,0,0,0,1,2,4,winter,0
2023-01-04,Midwest_US,Crane,0,0,0,1,2,4,winter,0
2023-01-04,Midwest_US,Grader,0,0,0,1,2,4,winter,0
2023-01-04,Midwest_US,Loader,0,0,0,1,2,4,winter,0
2023-01-04,Midwest_US,Dump_Truck,0,0,0,1,2,4,winter,0
2023-01-04,Midwest_US,Snow_Remover,0,0,0,1,2,4,winter,0
2023-01-04,Midwest_US,Concrete_Mixer,0,0,0,1,2,4,winter,0
2023-01-04,Midwest_US,Generator,0,0,0,1,2,4,winter,0
2023-01-04,Midwest_US,Compactor,0,0,0,1,2,4,winter,0
2023-01-04,Midwest_US,Drill_Rig,0,0,0,1,2,4,winter,0
2023-01-04,Southeast_US,Excavator,0,0,0,1,2,4,winter,0
2023-01-04,Southeast_US,Bulldozer,0,0,0,1,2,4,winter,0
2023-01-04,Southeast_US,Crane,0,0,0,1,2,4,winter,0
2023-01-04,Southeast_US,Grader,0,0,0,1,2,4,winter,0
2023-01-04,Southeast_US,Loader,20,0,0,1,2,4,winter,0
2023-01-04,Southeast_US,Dump_Truck,0,0,0,1,2,4,winter,0
2023-01-04,Southeast_US,Snow_Remover,10,0,0,1,2,4,winter,0
2023-01-04,Southeast_US,Concrete_Mixer,0,0,0,1,2,4,winter,0
2023-01-04,Southeast_US,Generator,0,0,0,1,2,4,winter,0
2023-01-04,Southeast_US,Compactor,0,0,0,1,2,4,winter,0
2023-01-04,Southeast_US,Drill_Rig,0,0,0,1,2,4,winter,0
2023-01-04,Southwest_US,Excavator,15,0,0,1,2,4,winter,0
2023-01-04,Southwest_US,Bulldozer,1,0,0,1,2,4,winter,0
2023-01-04,Southwest_US,Crane,0,0,0,1,2,4,winter,0
2023-01-04,Southwest_US,Grader,23,0,23,1,2,4,winter,0
2023-01-04,Southwest_US,Loader,0,0,0,1,2,4,winter,0
2023-01-04,Southwest_US,Dump_Truck,0,0,0,1,2,4,winter,0
2023-01-04,Southwest_US,Snow_Remover,4,0,0,1,2,4,winter,0
2023-01-04,Southwest_US,Concrete_Mixer,6,6,0,1,2,4,winter,0
2023-01-04,Southwest_US,Generator,2,0,0,1,2,4,winter,0
2023-01-04,Southwest_US,Compactor,5,5,5,1,2,4,winter,0
2023-01-04,Southwest_US,Drill_Rig,0,0,0,1,2,4,winter,0
2023-01-04,West_Coast,Excavator,20,0,0,1,2,4,winter,0
2023-01-04,West_Coast,Bulldozer,0,0,0,1,2,4,winter,0
2023-01-04,West_Coast,Crane,0,0,0,1,2,4,winter,0
2023-01-04,West_Coast,Grader,1,0,0,1,2,4,winter,0
2023-01-04,West_Coast,Loader,15,0,0,1,2,4,winter,0
2023-01-04,West_Coast,Dump_Truck,0,0,0,1,2,4,winter,0
2023-01-04,West_Coast,Snow_Remover,3,0,0,1,2,4,winter,0
2023-01-04,West_Coast,Concrete_Mixer,5,0,0,1,2,4,winter,0
2023-01-04,West_Coast,Generator,2,2,0,1,2,4,winter,0
2023-01-04,West_Coast,Compactor,0,0,0,1,2,4,winter,0
2023-01-04,West_Coast,Drill_Rig,0,0,0,1,2,4,winter,0
2023-01-05,Northeast_US,Excavator,0,0,0,1,3,5,winter,0
2023-01-05,Northeast_US,Bulldozer,0,0,0,1,3,5,winter,0
2023-01-05,Northeast_US,Crane,0,0,0,1,3,5,winter,0
2023-01-05,Northeast_US,Grader,7,7,0,1,3,5,winter,0
2023-01-05,Northeast_US,Loader,0,0,0,1,3,5,winter,0
2023-01-05,Northeast_US,Dump_Truck,0,0,0,1,3,5,winter,0
2023-01-05,Northeast_US,Snow_Remover,1,1,0,1,3,5,winter,0
2023-01-05,Northeast_US,Concrete_Mixer,0,0,0,1,3,5,winter,0
2023-01-05,Northeast_US,Generator,0,0,0,1,3,5,winter,0
2023-01-05,Northeast_US,Compactor,0,0,0,1,3,5,winter,0
2023-01-05,Northeast_US,Drill_Rig,0,0,0,1,3,5,winter,0
2023-01-05,Midwest_US,Excavator,9,9,9,1,3,5,winter,0
2023-01-05,Midwest_US,Bulldozer,0,0,0,1,3,5,winter,0
2023-01-05,Midwest_US,Crane,0,0,0,1,3,5,winter,0
2023-01-05,Midwest_US,Grader,0,0,0,1,3,5,winter,0
2023-01-05,Midwest_US,Loader,0,0,0,1,3,5,winter,0
2023-01-05,Midwest_US,Dump_Truck,0,0,0,1,3,5,winter,0
2023-01-05,Midwest_US,Snow_Remover,0,0,0,1,3,5,winter,0
2023-01-05,Midwest_US,Concrete_Mixer,0,0,0,1,3,5,winter,0
2023-01-05,Midwest_US,Generator,0,0,0,1,3,5,winter,0
2023-01-05,Midwest_US,Compactor,0,0,0,1,3,5,winter,0
2023-01-05,Midwest_US,Drill_Rig,0,0,0,1,3,5,winter,0
2023-01-05,Southeast_US,Excavator,0,0,0,1,3,5,winter,0
2023-01-05,Southeast_US,Bulldozer,0,0,0,1,3,5,winter,0
2023-01-05,Southeast_US,Crane,0,0,0,1,3,5,winter,0
2023-01-05,Southeast_US,Grader,0,0,0,1,3,5,winter,0
2023-01-05,Southeast_US,Loader,20,0,0,1,3,5,winter,0
2023-01-05,Southeast_US,Dump_Truck,0,0,0,1,3,5,winter,0
2023-01-05,Southeast_US,Snow_Remover,17,7,0,1,3,5,winter,0
2023-01-05,Southeast_US,Concrete_Mixer,0,0,0,1,3,5,winter,0
2023-01-05,Southeast_US,Generator,0,0,0,1,3,5,winter,0
2023-01-05,Southeast_US,Compactor,0,0,0,1,3,5,winter,0
2023-01-05,Southeast_US,Drill_Rig,0,0,0,1,3,5,winter,0
2023-01-05,Southwest_US,Excavator,15,0,0,1,3,5,winter,0
2023-01-05,Southwest_US,Bulldozer,1,0,0,1,3,5,winter,0
2023-01-05,Southwest_US,Crane,0,0,0,1,3,5,winter,0
2023-01-05,Southwest_US,Grader,23,0,23,1,3,5,winter,0
2023-01-05,Southwest_US,Loader,0,0,0,1,3,5,winter,0
2023-01-05,Southwest_US,Dump_Truck,0,0,0,1,3,5,winter,0
2023-01-05,Southwest_US,Snow_Remover,4,0,0,1,3,5,winter,0
2023-01-05,Southwest_US,Concrete_Mixer,6,0,0,1,3,5,winter,0
2023-01-05,Southwest_US,Generator,2,0,0,1,3,5,winter,0
2023-01-05,Southwest_US,Compactor,5,0,5,1,3,5,winter,0
2023-01-05,Southwest_US,Drill_Rig,0,0,0,1,3,5,winter,0
2023-01-05,West_Coast,Excavator,20,0,0,1,3,5,winter,0
2023-01-05,West_Coast,Bulldozer,0,0,0,1,3,5,winter,0
2023-01-05,West_Coast,Crane,14,14,0,1,3,5,winter,0
2023-01-05,West_Coast,Grader,1,0,0,1,3,5,winter,0
2023-01-05,West_Coast,Loader,17,2,0,1,3,5,winter,0
2023-01-05,West_Coast,Dump_Truck,0,0,0,1,3,5,winter,0
2023-01-05,West_Coast,Snow_Remover,3,0,0,1,3,5,winter,0
2023-01-05,West_Coast,Concrete_Mixer,5,0,0,1,3,5,winter,0
2023-01-05,West_Coast,Generator,6,4,0,1,3,5,winter,0
2023-01-05,West_Coast,Compactor,0,0,0,1,3,5,winter,0
2023-01-05,West_Coast,Drill_Rig,0,0,0,1,3,5,winter,0
2023-01-06,Northeast_US,Excavator,0,0,0,1,4,6,winter,0
2023-01-06,Northeast_US,Bulldozer,13,13,0,1,4,6,winter,0
2023-01-06,Northeast_US,Crane,0,0,0,1,4,6,winter,0
2023-01-06,Northeast_US,Grader,7,0,0,1,4,6,winter,0
2023-01-06,Northeast_US,Loader,5,5,0,1,4,6,winter,0
2023-01-06,Northeast_US,Dump_Truck,0,0,0,1,4,6,winter,0
2023-01-06,Northeast_US,Snow_Remover,1,0,0,1,4,6,winter,0
2023-01-06,Northeast_US,Concrete_Mixer,0,0,0,1,4,6,winter,0
2023-01-06,Northeast_US,Generator,0,0,0,1,4,6,winter,0
2023-01-06,Northeast_US,Compactor,0,0,0,1,4,6,winter,0
2023-01-06,Northeast_US,Drill_Rig,0,0,0,1,4,6,winter,0
2023-01-06,Midwest_US,Excavator,9,0,9,1,4,6,winter,0
2023-01-06,Midwest_US,Bulldozer,0,0,0,1,4,6,winter,0
2023-01-06,Midwest_US,Crane,0,0,0,1,4,6,winter,0
2023-01-06,Midwest_US,Grader,0,0,0,1,4,6,winter,0
2023-01-06,Midwest_US,Loader,0,0,0,1,4,6,winter,0
2023-01-06,Midwest_US,Dump_Truck,0,0,0,1,4,6,winter,0
2023-01-06,Midwest_US,Snow_Remover,0,0,0,1,4,6,winter,0
2023-01-06,Midwest_US,Concrete_Mixer,0,0,0,1,4,6,winter,0
2023-01-06,Midwest_US,Generator,0,0,0,1,4,6,winter,0
2023-01-06,Midwest_US,Compactor,0,0,0,1,4,6,winter,0
2023-01-06,Midwest_US,Drill_Rig,0,0,0,1,4,6,winter,0
2023-01-06,Southeast_US,Excavator,0,0,0,1,4,6,winter,0
2023-01-06,Southeast_US,Bulldozer,4,4,0,1,4,6,winter,0
2023-01-06,Southeast_US,Crane,0,0,0,1,4,6,winter,0
2023-01-06,Southeast_US,Grader,0,0,0,1,4,6,winter,0
2023-01-06,Southeast_US,Loader,26,6,6,1,4,6,winter,0
2023-01-06,Southeast_US,Dump_Truck,0,0,0,1,4,6,winter,0
2023-01-06,Southeast_US,Snow_Remover,34,17,0,1,4,6,winter,0
2023-01-06,Southeast_US,Concrete_Mixer,0,0,0,1,4,6,winter,0
2023-01-06,Southeast_US,Generator,0,0,0,1,4,6,winter,0
2023-01-06,Southeast_US,Compactor,0,0,0,1,4,6,winter,0
2023-01-06,Southeast_US,Drill_Rig,0,0,0,1,4,6,winter,0
2023-01-06,Southwest_US,Excavator,17,2,0,1,4,6,winter,0
2023-01-06,Southwest_US,Bulldozer,1,0,0,1,4,6,winter,0
2023-01-06,Southwest_US,Crane,0,0,0,1,4,6,winter,0
2023-01-06,Southwest_US,Grader,23,0,23,1,4,6,winter,0
2023-01-06,Southwest_US,Loader,0,0,0,1,4,6,winter,0
2023-01-06,Southwest_US,Dump_Truck,0,0,0,1,4,6,winter,0
2023-01-06,Southwest_US,Snow_Remover,15,11,0,1,4,6,winter,0
2023-01-06,Southwest_US,Concrete_Mixer,8,2,0,1,4,6,winter,0
2023-01-06,Southwest_US,Generator,2,0,0,1,4,6,winter,0
2023-01-06,Southwest_US,Compactor,5,0,5,1,4,6,winter,0
2023-01-06,Southwest_US,Drill_Rig,22,22,22,1,4,6,winter,0
2023-01-06,West_Coast,Excavator,20,0,0,1,4,6,winter,0
2023-01-06,West_Coast,Bulldozer,0,0,0,1,4,6,winter,0
2023-01-06,West_Coast,Crane,28,14,0,1,4,6,winter,0
2023-01-06,West_Coast,Grader,1,0,0,1,4,6,winter,0
2023-01-06,West_Coast,Loader,17,0,0,1,4,6,winter,0
2023-01-06,West_Coast,Dump_Truck,0,0,0,1,4,6,winter,0
2023-01-06,West_Coast,Snow_Remover,3,0,0,1,4,6,winter,0
2023-01-06,West_Coast,Concrete_Mixer,5,0,0,1,4,6,winter,0
2023-01-06,West_Coast,Generator,6,0,0,1,4,6,winter,0
2023-01-06,West_Coast,Compactor,0,0,0,1,4,6,winter,0
2023-01-06,West_Coast,Drill_Rig,0,0,0,1,4,6,winter,0
2023-01-07,Northeast_US,Excavator,0,0,0,1,5,7,winter,1
2023-01-07,Northeast_US,Bulldozer,13,0,0,1,5,7,winter,1
2023-01-07,Northeast_US,Crane,1,1,0,1,5,7,winter,1
2023-01-07,Northeast_US,Grader,7,0,0,1,5,7,winter,1
2023-01-07,Northeast_US,Loader,5,0,0,1,5,7,winter,1
2023-01-07,Northeast_US,Dump_Truck,0,0,0,1,5,7,winter,1
2023-01-07,Northeast_US,Snow_Remover,1,0,0,1,5,7,winter,1
2023-01-07,Northeast_US,Concrete_Mixer,0,0,0,1,5,7,winter,1
2023-01-07,Northeast_US,Generator,0,0,0,1,5,7,winter,1
2023-01-07,Northeast_US,Compactor,0,0,0,1,5,7,winter,1
2023-01-07,Northeast_US,Drill_Rig,0,0,0,1,5,7,winter,1
2023-01-07,Midwest_US,Excavator,9,0,9,1,5,7,winter,1
2023-01-07,Midwest_US,Bulldozer,0,0,0,1,5,7,winter,1
2023-01-07,Midwest_US,Crane,0,0,0,1,5,7,winter,1
2023-01-07,Midwest_US,Grader,0,0,0,1,5,7,winter,1
2023-01-07,Midwest_US,Loader,0,0,0,1,5,7,winter,1
2023-01-07,Midwest_US,Dump_Truck,0,0,0,1,5,7,winter,1
2023-01-07,Midwest_US,Snow_Remover,17,17,0,1,5,7,winter,1
2023-01-07,Midwest_US,Concrete_Mixer,0,0,0,1,5,7,winter,1
2023-01-07,Midwest_US,Generator,0,0,0,1,5,7,winter,1
2023-01-07,Midwest_US,Compactor,0,0,0,1,5,7,winter,1
2023-01-07,Midwest_US,Drill_Rig,0,0,0,1,5,7,winter,1
2023-01-07,Southeast_US,Excavator,0,0,0,1,5,7,winter,1
2023-01-07,Southeast_US,Bulldozer,4,0,0,1,5,7,winter,1
2023-01-07,Southeast_US,Crane,0,0,0,1,5,7,winter,1
2023-01-07,Southeast_US,Grader,0,0,0,1,5,7,winter,1
2023-01-07,Southeast_US,Loader,26,0,6,1,5,7,winter,1
2023-01-07,Southeast_US,Dump_Truck,0,0,0,1,5,7,winter,1
2023-01-07,Southeast_US,Snow_Remover,49,15,0,1,5,7,winter,1
2023-01-07,Southeast_US,Concrete_Mixer,0,0,0,1,5,7,winter,1
2023-01-07,Southeast_US,Generator,0,0,0,1,5,7,winter,1
2023-01-07,Southeast_US,Compactor,0,0,0,1,5,7,winter,1
2023-01-07,Southeast_US,Drill_Rig,0,0,0,1,5,7,winter,1
2023-01-07,Southwest_US,Excavator,17,0,0,1,5,7,winter,1
2023-01-07,Southwest_US,Bulldozer,1,0,0,1,5,7,winter,1
2023-01-07,Southwest_US,Crane,0,0,0,1,5,7,winter,1
2023-01-07,Southwest_US,Grader,23,0,23,1,5,7,winter,1
2023-01-07,Southwest_US,Loader,0,0,0,1,5,7,winter,1
2023-01-07,Southwest_US,Dump_Truck,0,0,0,1,5,7,winter,1
2023-01-07,Southwest_US,Snow_Remover,15,0,0,1,5,7,winter,1
2023-01-07,Southwest_US,Concrete_Mixer,8,0,0,1,5,7,winter,1
2023-01-07,Southwest_US,Generator,4,2,0,1,5,7,winter,1
2023-01-07,Southwest_US,Compactor,5,0,5,1,5,7,winter,1
2023-01-07,Southwest_US,Drill_Rig,22,0,22,1,5,7,winter,1
2023-01-07,West_Coast,Excavator,20,0,0,1,5,7,winter,1
2023-01-07,West_Coast,Bulldozer,0,0,0,1,5,7,winter,1
