country,machine_type,week_start,year,month,iso_week,bookings,revenue_usd,seasonality_index,demand_level
Australia,Backhoe Loader,2026-05-18,2026,5,21,1,4493,1.45,Low
Australia,Backhoe Loader,2026-06-22,2026,6,26,1,898,1.25,Low
Australia,Compactor,2023-01-02,2023,1,1,1,9520,1.35,Low
Australia,Compactor,2023-01-09,2023,1,2,3,19184,1.35,Low
Australia,Compactor,2023-01-16,2023,1,3,3,12430,1.35,Low
Australia,Compactor,2023-01-30,2023,1,5,1,2534,1.35,Low
Australia,Compactor,2023-02-06,2023,2,6,1,12577,1.4,Low
Australia,Compactor,2023-02-13,2023,2,7,2,7399,1.4,Low
Australia,Compactor,2023-02-20,2023,2,8,2,4096,1.4,Low
Australia,Compactor,2023-03-06,2023,3,10,2,18435,1.3,Low
Australia,Compactor,2023-03-13,2023,3,11,3,12733,1.3,Low
Australia,Compactor,2023-03-20,2023,3,12,2,15331,1.3,Low
Australia,Compactor,2023-03-27,2023,3,13,2,6984,1.3,Low
Australia,Compactor,2023-04-17,2023,4,16,2,15445,1.5,Low
Australia,Compactor,2023-05-08,2023,5,19,2,13314,1.55,Low
Australia,Compactor,2023-05-15,2023,5,20,1,5831,1.55,Low
Australia,Compactor,2023-05-29,2023,5,22,2,6281,1.55,Low
Australia,Compactor,2023-06-05,2023,6,23,2,7837,1.25,Low
Australia,Compactor,2023-06-12,2023,6,24,1,1671,1.25,Low
Australia,Compactor,2023-06-19,2023,6,25,1,6711,1.25,Low
Australia,Compactor,2023-06-26,2023,6,26,1,821,1.25,Low
Australia,Compactor,2023-07-03,2023,7,27,3,7729,1.05,Low
Australia,Compactor,2023-07-10,2023,7,28,1,8330,1.05,Low
Australia,Compactor,2023-07-17,2023,7,29,1,9340,1.05,Low
Australia,Compactor,2023-07-31,2023,7,31,2,6803,1.05,Low
Australia,Compactor,2023-08-07,2023,8,32,2,13861,1.05,Low
Australia,Compactor,2023-08-14,2023,8,33,2,12289,1.05,Low
Australia,Compactor,2023-08-21,2023,8,34,2,6097,1.05,Low
Australia,Compactor,2023-08-28,2023,8,35,2,10251,1.05,Low
Australia,Compactor,2023-09-04,2023,9,36,3,13359,1.3,Low
Australia,Compactor,2023-09-11,2023,9,37,2,12575,1.3,Low
Australia,Compactor,2023-09-18,2023,9,38,1,8046,1.3,Low
Australia,Compactor,2023-09-25,2023,9,39,1,15903,1.3,Low
Australia,Compactor,2023-10-02,2023,10,40,2,5320,1.4,Low
Australia,Compactor,2023-10-09,2023,10,41,1,3587,1.4,Low
Australia,Compactor,2023-10-23,2023,10,43,2,12144,1.4,Low
Australia,Compactor,2023-10-30,2023,10,44,3,17743,1.4,Low
Australia,Compactor,2023-11-06,2023,11,45,2,4903,1.4,Low
Australia,Compactor,2023-11-13,2023,11,46,1,4670,1.4,Low
Australia,Compactor,2023-11-20,2023,11,47,2,11002,1.4,Low
Australia,Compactor,2023-11-27,2023,11,48,3,18124,1.4,Low
Australia,Compactor,2023-12-04,2023,12,49,2,13399,1.35,Low
Australia,Compactor,2023-12-11,2023,12,50,1,4456,1.35,Low
Australia,Compactor,2023-12-18,2023,12,51,3,14075,1.35,Low
Australia,Compactor,2023-12-25,2023,12,52,1,2385,1.35,Low
Australia,Compactor,2024-01-01,2024,1,1,1,821,1.35,Low
Australia,Compactor,2024-01-08,2024,1,2,1,10620,1.35,Low
Australia,Compactor,2024-01-15,2024,1,3,1,1893,1.35,Low
Australia,Compactor,2024-01-22,2024,1,4,3,14018,1.35,Low
Australia,Compactor,2024-01-29,2024,1,5,3,17051,1.35,Low
Australia,Compactor,2024-02-05,2024,2,6,2,15621,1.4,Low
Australia,Compactor,2024-02-19,2024,2,8,1,7867,1.4,Low
Australia,Compactor,2024-02-26,2024,2,9,1,2562,1.4,Low
Australia,Compactor,2024-03-04,2024,3,10,1,4426,1.3,Low
Australia,Compactor,2024-03-18,2024,3,12,1,3856,1.3,Low
Australia,Compactor,2024-04-15,2024,4,16,1,4516,1.5,Low
Australia,Compactor,2024-04-22,2024,4,17,1,3180,1.5,Low
Australia,Compactor,2024-04-29,2024,4,18,5,25666,1.5,Low
Australia,Compactor,2024-05-06,2024,5,19,1,2385,1.55,Low
Australia,Compactor,2024-05-13,2024,5,20,2,4410,1.55,Low
Australia,Compactor,2024-05-20,2024,5,21,1,948,1.55,Low
Australia,Compactor,2024-05-27,2024,5,22,1,3632,1.55,Low
Australia,Compactor,2024-06-10,2024,6,24,2,12185,1.25,Low
Australia,Compactor,2024-06-17,2024,6,25,1,6762,1.25,Low
Australia,Compactor,2024-06-24,2024,6,26,1,12454,1.25,Low
Australia,Compactor,2024-07-01,2024,7,27,2,9807,1.05,Low
Australia,Compactor,2024-07-08,2024,7,28,2,11360,1.05,Low
Australia,Compactor,2024-07-22,2024,7,30,3,21369,1.05,Low
Australia,Compactor,2024-07-29,2024,7,31,1,3379,1.05,Low
Australia,Compactor,2024-08-05,2024,8,32,1,3245,1.05,Low
Australia,Compactor,2024-08-12,2024,8,33,2,12332,1.05,Low
Australia,Compactor,2024-08-19,2024,8,34,3,9836,1.05,Low
Australia,Compactor,2024-09-02,2024,9,36,2,7982,1.3,Low
Australia,Compactor,2024-09-16,2024,9,38,3,11900,1.3,Low
Australia,Compactor,2024-09-23,2024,9,39,3,13487,1.3,Low
Australia,Compactor,2024-09-30,2024,9,40,1,7101,1.3,Low
Australia,Compactor,2024-10-07,2024,10,41,2,13459,1.4,Low
Australia,Compactor,2024-10-14,2024,10,42,2,9871,1.4,Low
Australia,Compactor,2024-10-21,2024,10,43,3,13184,1.4,Low
Australia,Compactor,2024-10-28,2024,10,44,1,3348,1.4,Low
Australia,Compactor,2024-11-04,2024,11,45,1,4912,1.4,Low
Australia,Compactor,2024-11-11,2024,11,46,1,1082,1.4,Low
Australia,Compactor,2024-11-18,2024,11,47,1,5564,1.4,Low
Australia,Compactor,2024-11-25,2024,11,48,4,24990,1.4,Low
Australia,Compactor,2024-12-02,2024,12,49,2,2617,1.35,Low
Australia,Compactor,2024-12-09,2024,12,50,2,1964,1.35,Low
Australia,Compactor,2024-12-16,2024,12,51,4,29099,1.35,Low
Australia,Compactor,2024-12-30,2024,12,1,1,2734,1.35,Low
Australia,Compactor,2025-01-06,2025,1,2,2,5767,1.35,Low
Australia,Compactor,2025-01-20,2025,1,4,1,2286,1.35,Low
Australia,Compactor,2025-01-27,2025,1,5,1,3794,1.35,Low
Australia,Compactor,2025-02-03,2025,2,6,4,20383,1.4,Low
Australia,Compactor,2025-02-17,2025,2,8,4,22070,1.4,Low
Australia,Compactor,2025-03-17,2025,3,12,1,3279,1.3,Low
Australia,Compactor,2025-03-24,2025,3,13,2,10963,1.3,Low
Australia,Compactor,2025-04-28,2025,4,18,1,12008,1.5,Low
Australia,Compactor,2025-05-05,2025,5,19,2,5184,1.55,Low
Australia,Compactor,2025-05-12,2025,5,20,2,18584,1.55,Low
Australia,Compactor,2025-05-26,2025,5,22,1,9469,1.55,Low
Australia,Compactor,2025-06-02,2025,6,23,2,10402,1.25,Low
Australia,Compactor,2025-06-16,2025,6,25,2,8043,1.25,Low
Australia,Compactor,2025-06-23,2025,6,26,1,4781,1.25,Low
Australia,Compactor,2025-06-30,2025,6,27,2,14319,1.25,Low
Australia,Compactor,2025-07-07,2025,7,28,4,30800,1.05,Low
Australia,Compactor,2025-07-21,2025,7,30,1,8211,1.05,Low
Australia,Compactor,2025-07-28,2025,7,31,1,3906,1.05,Low
Australia,Compactor,2025-08-04,2025,8,32,1,5950,1.05,Low
Australia,Compactor,2025-08-18,2025,8,34,2,7615,1.05,Low
Australia,Compactor,2025-09-01,2025,9,36,2,12973,1.3,Low
Australia,Compactor,2025-09-08,2025,9,37,2,4034,1.3,Low
Australia,Compactor,2025-09-15,2025,9,38,2,15343,1.3,Low
Australia,Compactor,2025-10-06,2025,10,41,2,11684,1.4,Low
Australia,Compactor,2025-10-13,2025,10,42,1,4733,1.4,Low
Australia,Compactor,2025-10-27,2025,10,44,5,21670,1.4,Low
Australia,Compactor,2025-11-03,2025,11,45,1,6574,1.4,Low
Australia,Compactor,2025-11-10,2025,11,46,1,1657,1.4,Low
Australia,Compactor,2025-11-17,2025,11,47,4,21916,1.4,Low
Australia,Compactor,2025-11-24,2025,11,48,2,25447,1.4,Low
Australia,Compactor,2025-12-01,2025,12,49,1,3313,1.35,Low
Australia,Compactor,2025-12-08,2025,12,50,3,11186,1.35,Low
Australia,Compactor,2025-12-15,2025,12,51,3,4570,1.35,Low
Australia,Compactor,2025-12-22,2025,12,52,1,10388,1.35,Low
Australia,Compactor,2025-12-29,2025,12,1,3,30949,1.35,Low
Australia,Compactor,2026-01-05,2026,1,2,1,4411,1.35,Low
Australia,Compactor,2026-01-12,2026,1,3,1,5247,1.35,Low
Australia,Compactor,2026-01-19,2026,1,4,3,15366,1.35,Low
Australia,Compactor,2026-01-26,2026,1,5,1,7187,1.35,Low
Australia,Compactor,2026-02-09,2026,2,7,1,9948,1.4,Low
Australia,Compactor,2026-03-02,2026,3,10,2,11941,1.3,Low
Australia,Compactor,2026-03-09,2026,3,11,3,7978,1.3,Low
Australia,Compactor,2026-03-23,2026,3,13,1,9085,1.3,Low
Australia,Compactor,2026-03-30,2026,3,14,1,13531,1.3,Low
Australia,Compactor,2026-04-27,2026,4,18,2,7047,1.5,Low
Australia,Compactor,2026-05-04,2026,5,19,3,20823,1.55,Low
Australia,Compactor,2026-05-11,2026,5,20,1,11406,1.55,Low
Australia,Compactor,2026-05-18,2026,5,21,2,14744,1.55,Low
Australia,Compactor,2026-05-25,2026,5,22,1,2245,1.55,Low
Australia,Compactor,2026-06-01,2026,6,23,3,14316,1.25,Low
Australia,Compactor,2026-06-15,2026,6,25,3,13570,1.25,Low
Australia,Compactor,2026-06-22,2026,6,26,2,10931,1.25,Low
Australia,Dozer,2023-01-02,2023,1,1,7,123080,1.3,Medium
Australia,Dozer,2023-01-09,2023,1,2,6,70703,1.3,Medium
Australia,Dozer,2023-01-16,2023,1,3,6,109591,1.3,Medium
Australia,Dozer,2023-01-23,2023,1,4,5,71011,1.3,Low
Australia,Dozer,2023-01-30,2023,1,5,2,45561,1.3,Low
Australia,Dozer,2023-02-06,2023,2,6,3,24766,1.35,Low
Australia,Dozer,2023-02-13,2023,2,7,3,53575,1.35,Low
Australia,Dozer,2023-02-20,2023,2,8,1,15667,1.35,Low
Australia,Dozer,2023-02-27,2023,2,9,3,52690,1.35,Low
Australia,Dozer,2023-03-06,2023,3,10,2,10910,1.3,Low
Australia,Dozer,2023-03-13,2023,3,11,4,49395,1.3,Low
Australia,Dozer,2023-03-20,2023,3,12,1,13998,1.3,Low
Australia,Dozer,2023-03-27,2023,3,13,2,22926,1.3,Low
Australia,Dozer,2023-04-03,2023,4,14,2,14527,1.45,Low
Australia,Dozer,2023-04-10,2023,4,15,5,70787,1.45,Low
Australia,Dozer,2023-04-17,2023,4,16,3,41834,1.45,Low
Australia,Dozer,2023-04-24,2023,4,17,4,50799,1.45,Low
Australia,Dozer,2023-05-01,2023,5,18,5,79454,1.55,Low
Australia,Dozer,2023-05-08,2023,5,19,3,31185,1.55,Low
Australia,Dozer,2023-05-15,2023,5,20,5,28182,1.55,Low
Australia,Dozer,2023-05-22,2023,5,21,2,10335,1.55,Low
Australia,Dozer,2023-05-29,2023,5,22,3,44363,1.55,Low
Australia,Dozer,2023-06-05,2023,6,23,2,21840,1.3,Low
Australia,Dozer,2023-06-12,2023,6,24,6,96930,1.3,Medium
Australia,Dozer,2023-06-19,2023,6,25,4,41548,1.3,Low
Australia,Dozer,2023-06-26,2023,6,26,2,22008,1.3,Low
Australia,Dozer,2023-07-03,2023,7,27,2,37580,1.15,Low
Australia,Dozer,2023-07-10,2023,7,28,6,111014,1.15,Medium
Australia,Dozer,2023-07-17,2023,7,29,6,59543,1.15,Medium
Australia,Dozer,2023-07-24,2023,7,30,6,88426,1.15,Medium
Australia,Dozer,2023-07-31,2023,7,31,2,7981,1.15,Low
Australia,Dozer,2023-08-07,2023,8,32,4,65672,1.1,Low
Australia,Dozer,2023-08-14,2023,8,33,4,56164,1.1,Low
Australia,Dozer,2023-08-21,2023,8,34,5,88217,1.1,Low
Australia,Dozer,2023-08-28,2023,8,35,8,120868,1.1,Medium
Australia,Dozer,2023-09-04,2023,9,36,3,60796,1.3,Low
Australia,Dozer,2023-09-11,2023,9,37,3,47793,1.3,Low
Australia,Dozer,2023-09-18,2023,9,38,4,72706,1.3,Low
Australia,Dozer,2023-09-25,2023,9,39,3,29871,1.3,Low
Australia,Dozer,2023-10-02,2023,10,40,5,52644,1.4,Low
Australia,Dozer,2023-10-09,2023,10,41,10,154721,1.4,Medium
Australia,Dozer,2023-10-16,2023,10,42,4,31873,1.4,Low
Australia,Dozer,2023-10-23,2023,10,43,3,61180,1.4,Low
Australia,Dozer,2023-10-30,2023,10,44,6,82652,1.4,Medium
Australia,Dozer,2023-11-06,2023,11,45,4,35457,1.35,Low
Australia,Dozer,2023-11-13,2023,11,46,6,45611,1.35,Medium
Australia,Dozer,2023-11-20,2023,11,47,5,68582,1.35,Low
Australia,Dozer,2023-11-27,2023,11,48,2,26661,1.35,Low
Australia,Dozer,2023-12-04,2023,12,49,5,78942,1.3,Low
Australia,Dozer,2023-12-11,2023,12,50,3,28704,1.3,Low
Australia,Dozer,2023-12-18,2023,12,51,3,34908,1.3,Low
Australia,Dozer,2023-12-25,2023,12,52,6,116006,1.3,Medium
Australia,Dozer,2024-01-01,2024,1,1,6,70465,1.3,Medium
Australia,Dozer,2024-01-08,2024,1,2,6,95027,1.3,Medium
Australia,Dozer,2024-01-15,2024,1,3,4,68461,1.3,Low
Australia,Dozer,2024-01-22,2024,1,4,4,34130,1.3,Low
Australia,Dozer,2024-01-29,2024,1,5,3,43349,1.3,Low
Australia,Dozer,2024-02-05,2024,2,6,3,35803,1.35,Low
Australia,Dozer,2024-02-12,2024,2,7,2,24877,1.35,Low
Australia,Dozer,2024-02-19,2024,2,8,4,41640,1.35,Low
Australia,Dozer,2024-02-26,2024,2,9,3,34540,1.35,Low
Australia,Dozer,2024-03-04,2024,3,10,1,12718,1.3,Low
Australia,Dozer,2024-03-11,2024,3,11,2,34956,1.3,Low
Australia,Dozer,2024-03-18,2024,3,12,3,51404,1.3,Low
Australia,Dozer,2024-03-25,2024,3,13,1,17671,1.3,Low
Australia,Dozer,2024-04-01,2024,4,14,3,39674,1.45,Low
Australia,Dozer,2024-04-08,2024,4,15,4,81425,1.45,Low
Australia,Dozer,2024-04-15,2024,4,16,5,34865,1.45,Low
Australia,Dozer,2024-04-22,2024,4,17,3,21304,1.45,Low
Australia,Dozer,2024-04-29,2024,4,18,1,34454,1.45,Low
Australia,Dozer,2024-05-06,2024,5,19,1,15226,1.55,Low
Australia,Dozer,2024-05-13,2024,5,20,5,77985,1.55,Low
Australia,Dozer,2024-05-20,2024,5,21,3,35710,1.55,Low
Australia,Dozer,2024-05-27,2024,5,22,3,33799,1.55,Low
Australia,Dozer,2024-06-03,2024,6,23,6,64129,1.3,Medium
Australia,Dozer,2024-06-10,2024,6,24,6,79506,1.3,Medium
Australia,Dozer,2024-06-17,2024,6,25,2,17227,1.3,Low
Australia,Dozer,2024-06-24,2024,6,26,4,43149,1.3,Low
Australia,Dozer,2024-07-01,2024,7,27,8,127501,1.15,Medium
Australia,Dozer,2024-07-08,2024,7,28,5,94525,1.15,Low
Australia,Dozer,2024-07-15,2024,7,29,4,87082,1.15,Low
Australia,Dozer,2024-07-22,2024,7,30,4,69536,1.15,Low
Australia,Dozer,2024-07-29,2024,7,31,4,23059,1.15,Low
Australia,Dozer,2024-08-05,2024,8,32,8,132367,1.1,Medium
Australia,Dozer,2024-08-12,2024,8,33,3,39211,1.1,Low
Australia,Dozer,2024-08-19,2024,8,34,7,151468,1.1,Medium
Australia,Dozer,2024-08-26,2024,8,35,4,35156,1.1,Low
Australia,Dozer,2024-09-02,2024,9,36,1,9513,1.3,Low
Australia,Dozer,2024-09-09,2024,9,37,6,56491,1.3,Medium
Australia,Dozer,2024-09-16,2024,9,38,4,64448,1.3,Low
Australia,Dozer,2024-09-23,2024,9,39,7,94028,1.3,Medium
Australia,Dozer,2024-09-30,2024,9,40,4,57706,1.3,Low
Australia,Dozer,2024-10-07,2024,10,41,4,73271,1.4,Low
Australia,Dozer,2024-10-14,2024,10,42,4,58729,1.4,Low
Australia,Dozer,2024-10-21,2024,10,43,2,44738,1.4,Low
Australia,Dozer,2024-10-28,2024,10,44,2,30189,1.4,Low
Australia,Dozer,2024-11-04,2024,11,45,3,15017,1.35,Low
Australia,Dozer,2024-11-11,2024,11,46,3,34950,1.35,Low
Australia,Dozer,2024-11-18,2024,11,47,3,22328,1.35,Low
Australia,Dozer,2024-11-25,2024,11,48,5,78539,1.35,Low
Australia,Dozer,2024-12-02,2024,12,49,2,11161,1.3,Low
Australia,Dozer,2024-12-09,2024,12,50,7,80236,1.3,Medium
Australia,Dozer,2024-12-16,2024,12,51,7,123887,1.3,Medium
Australia,Dozer,2024-12-23,2024,12,52,2,42178,1.3,Low
Australia,Dozer,2024-12-30,2024,12,1,8,78636,1.3,Medium
Australia,Dozer,2025-01-06,2025,1,2,4,73117,1.3,Low
Australia,Dozer,2025-01-13,2025,1,3,4,52461,1.3,Low
Australia,Dozer,2025-01-20,2025,1,4,6,77454,1.3,Medium
Australia,Dozer,2025-01-27,2025,1,5,8,101017,1.3,Medium
Australia,Dozer,2025-02-03,2025,2,6,1,17823,1.35,Low
Australia,Dozer,2025-02-10,2025,2,7,6,74660,1.35,Medium
Australia,Dozer,2025-02-17,2025,2,8,1,10368,1.35,Low
Australia,Dozer,2025-02-24,2025,2,9,3,20660,1.35,Low
Australia,Dozer,2025-03-03,2025,3,10,2,24062,1.3,Low
Australia,Dozer,2025-03-17,2025,3,12,3,82385,1.3,Low
Australia,Dozer,2025-03-24,2025,3,13,1,2211,1.3,Low
Australia,Dozer,2025-03-31,2025,3,14,4,49272,1.3,Low
Australia,Dozer,2025-04-07,2025,4,15,6,72074,1.45,Medium
Australia,Dozer,2025-04-14,2025,4,16,8,110210,1.45,Medium
Australia,Dozer,2025-04-21,2025,4,17,1,2937,1.45,Low
Australia,Dozer,2025-04-28,2025,4,18,5,37651,1.45,Low
Australia,Dozer,2025-05-05,2025,5,19,5,94335,1.55,Low
Australia,Dozer,2025-05-12,2025,5,20,8,60900,1.55,Medium
Australia,Dozer,2025-05-19,2025,5,21,3,55222,1.55,Low
Australia,Dozer,2025-05-26,2025,5,22,1,18500,1.55,Low
Australia,Dozer,2025-06-02,2025,6,23,4,35750,1.3,Low
Australia,Dozer,2025-06-09,2025,6,24,4,42580,1.3,Low
Australia,Dozer,2025-06-16,2025,6,25,1,4213,1.3,Low
Australia,Dozer,2025-06-23,2025,6,26,2,18830,1.3,Low
Australia,Dozer,2025-06-30,2025,6,27,3,31071,1.3,Low
Australia,Dozer,2025-07-07,2025,7,28,5,101128,1.15,Low
Australia,Dozer,2025-07-14,2025,7,29,4,41452,1.15,Low
Australia,Dozer,2025-07-21,2025,7,30,1,27096,1.15,Low
Australia,Dozer,2025-07-28,2025,7,31,6,96649,1.15,Medium
Australia,Dozer,2025-08-04,2025,8,32,3,47481,1.1,Low
Australia,Dozer,2025-08-11,2025,8,33,8,109176,1.1,Medium
Australia,Dozer,2025-08-18,2025,8,34,5,59895,1.1,Low
Australia,Dozer,2025-08-25,2025,8,35,4,40380,1.1,Low
Australia,Dozer,2025-09-01,2025,9,36,7,121396,1.3,Medium
Australia,Dozer,2025-09-08,2025,9,37,3,32053,1.3,Low
Australia,Dozer,2025-09-15,2025,9,38,5,53468,1.3,Low
Australia,Dozer,2025-09-22,2025,9,39,7,138734,1.3,Medium
Australia,Dozer,2025-09-29,2025,9,40,6,72640,1.3,Medium
Australia,Dozer,2025-10-06,2025,10,41,4,35242,1.4,Low
Australia,Dozer,2025-10-13,2025,10,42,5,47990,1.4,Low
Australia,Dozer,2025-10-20,2025,10,43,5,82041,1.4,Low
Australia,Dozer,2025-10-27,2025,10,44,9,140576,1.4,Medium
Australia,Dozer,2025-11-03,2025,11,45,4,44580,1.35,Low
Australia,Dozer,2025-11-10,2025,11,46,4,55947,1.35,Low
Australia,Dozer,2025-11-17,2025,11,47,6,45177,1.35,Medium
Australia,Dozer,2025-11-24,2025,11,48,5,60325,1.35,Low
Australia,Dozer,2025-12-01,2025,12,49,5,69852,1.3,Low
Australia,Dozer,2025-12-08,2025,12,50,3,38620,1.3,Low
Australia,Dozer,2025-12-15,2025,12,51,4,40933,1.3,Low
Australia,Dozer,2025-12-22,2025,12,52,4,72129,1.3,Low
Australia,Dozer,2025-12-29,2025,12,1,3,21061,1.3,Low
Australia,Dozer,2026-01-05,2026,1,2,5,48507,1.3,Low
Australia,Dozer,2026-01-12,2026,1,3,3,67641,1.3,Low
Australia,Dozer,2026-01-19,2026,1,4,3,31346,1.3,Low
Australia,Dozer,2026-01-26,2026,1,5,3,33042,1.3,Low
Australia,Dozer,2026-02-02,2026,2,6,6,78152,1.35,Medium
Australia,Dozer,2026-02-09,2026,2,7,4,27807,1.35,Low
Australia,Dozer,2026-02-16,2026,2,8,5,77528,1.35,Low
Australia,Dozer,2026-02-23,2026,2,9,4,52926,1.35,Low
Australia,Dozer,2026-03-02,2026,3,10,2,27021,1.3,Low
Australia,Dozer,2026-03-09,2026,3,11,1,5821,1.3,Low
Australia,Dozer,2026-03-16,2026,3,12,2,41047,1.3,Low
Australia,Dozer,2026-03-23,2026,3,13,3,32985,1.3,Low
Australia,Dozer,2026-03-30,2026,3,14,3,31045,1.3,Low
Australia,Dozer,2026-04-06,2026,4,15,4,94751,1.45,Low
Australia,Dozer,2026-04-13,2026,4,16,4,48304,1.45,Low
Australia,Dozer,2026-04-20,2026,4,17,4,56252,1.45,Low
Australia,Dozer,2026-04-27,2026,4,18,4,42747,1.45,Low
Australia,Dozer,2026-05-04,2026,5,19,2,17211,1.55,Low
Australia,Dozer,2026-05-11,2026,5,20,6,83472,1.55,Medium
Australia,Dozer,2026-05-18,2026,5,21,3,33530,1.55,Low
Australia,Dozer,2026-05-25,2026,5,22,4,30325,1.55,Low
Australia,Dozer,2026-06-01,2026,6,23,5,44793,1.3,Low
Australia,Dozer,2026-06-08,2026,6,24,4,48605,1.3,Low
Australia,Dozer,2026-06-15,2026,6,25,7,119947,1.3,Medium
Australia,Dozer,2026-06-22,2026,6,26,4,34934,1.3,Low
Australia,Dozer,2026-06-29,2026,6,27,2,36689,1.3,Low
Australia,Dump Truck,2023-01-02,2023,1,1,6,29192,1.35,Medium
Australia,Dump Truck,2023-01-09,2023,1,2,1,4477,1.35,Low
Australia,Dump Truck,2023-01-16,2023,1,3,7,48931,1.35,Medium
Australia,Dump Truck,2023-01-23,2023,1,4,3,20249,1.35,Low
Australia,Dump Truck,2023-01-30,2023,1,5,3,26369,1.35,Low
Australia,Dump Truck,2023-02-06,2023,2,6,2,10140,1.4,Low
Australia,Dump Truck,2023-02-13,2023,2,7,4,29998,1.4,Low
Australia,Dump Truck,2023-02-20,2023,2,8,3,18346,1.4,Low
Australia,Dump Truck,2023-02-27,2023,2,9,4,17166,1.4,Low
Australia,Dump Truck,2023-03-06,2023,3,10,3,43850,1.35,Low
Australia,Dump Truck,2023-03-13,2023,3,11,5,44184,1.35,Low
Australia,Dump Truck,2023-03-20,2023,3,12,2,14642,1.35,Low
Australia,Dump Truck,2023-03-27,2023,3,13,3,19125,1.35,Low
Australia,Dump Truck,2023-04-03,2023,4,14,5,34159,1.45,Low
Australia,Dump Truck,2023-04-10,2023,4,15,1,2536,1.45,Low
Australia,Dump Truck,2023-04-17,2023,4,16,2,9381,1.45,Low
Australia,Dump Truck,2023-05-01,2023,5,18,3,14885,1.5,Low
Australia,Dump Truck,2023-05-08,2023,5,19,3,14603,1.5,Low
Australia,Dump Truck,2023-05-22,2023,5,21,4,23840,1.5,Low
Australia,Dump Truck,2023-05-29,2023,5,22,4,26173,1.5,Low
Australia,Dump Truck,2023-06-05,2023,6,23,3,17706,1.35,Low
Australia,Dump Truck,2023-06-12,2023,6,24,5,33032,1.35,Low
Australia,Dump Truck,2023-06-19,2023,6,25,4,37671,1.35,Low
Australia,Dump Truck,2023-06-26,2023,6,26,4,10686,1.35,Low
Australia,Dump Truck,2023-07-03,2023,7,27,3,14008,1.25,Low
Australia,Dump Truck,2023-07-10,2023,7,28,3,14164,1.25,Low
Australia,Dump Truck,2023-07-17,2023,7,29,4,13290,1.25,Low
Australia,Dump Truck,2023-07-24,2023,7,30,6,25722,1.25,Medium
Australia,Dump Truck,2023-07-31,2023,7,31,4,34928,1.25,Low
Australia,Dump Truck,2023-08-07,2023,8,32,2,11222,1.2,Low
Australia,Dump Truck,2023-08-14,2023,8,33,2,15228,1.2,Low
Australia,Dump Truck,2023-08-21,2023,8,34,3,9083,1.2,Low
Australia,Dump Truck,2023-08-28,2023,8,35,3,20858,1.2,Low
Australia,Dump Truck,2023-09-04,2023,9,36,3,35031,1.35,Low
