asset_id,qr_code,rfid_tag,asset_name,equipment_type,manufacturer,model,serial_number,purchase_year,engine_type,fuel_type,fuel_capacity_l,horsepower,operating_weight_kg,country,current_site_id,current_status,total_engine_hours,expected_life_hours,last_service_date,next_service_due,daily_rental_rate,purchase_cost,condition,ownership,iot_enabled,image_url
MAC00011,QR-00011-RJBAQC,RFID17998345,Caterpillar 770G #0011,Dump Truck,Caterpillar,770G,CAT9219381,2021,Electric-Hybrid,Diesel,750,189,9931,India,SITE0169,rented,5599,18000,2022-01-26,2022-05-28,332,61572,Excellent,Owned,True,https://images.catrental.com/assets/dump-truck.jpg
MAC00012,QR-00012-YJROFH,RFID27916286,XCMG QY50KA #0012,Mobile Crane,XCMG,QY50KA,XCM4370945,2019,Diesel,Diesel,500,547,37017,Germany,SITE0065,rented,8335,20000,2022-09-08,2023-03-02,1635,374533,Poor,Owned,True,https://images.catrental.com/assets/mobile-crane.jpg
MAC00013,QR-00013-0AU5IK,RFID42788611,Putzmeister TMM 24-4 #0013,Concrete Mixer,Putzmeister,TMM 24-4,PUT6204580,2022,Diesel,Diesel,300,140,11864,India,SITE0028,rented,4747,8000,2022-01-28,2022-08-08,215,54496,Poor,Owned,True,https://images.catrental.com/assets/concrete-mixer.jpg
MAC00014,QR-00014-ZJHO4V,RFID85701752,Caterpillar CS56B #0014,Road Roller,Caterpillar,CS56B,CAT5213894,2022,Diesel,Diesel,200,154,11038,USA,SITE0161,rented,4630,9000,2021-12-27,2022-06-13,559,101744,Excellent,Owned,True,https://images.catrental.com/assets/road-roller.jpg
MAC00015,QR-00015-UEOBQT,RFID19744739,Caterpillar 777G #0015,Dump Truck,Caterpillar,777G,CAT2731281,2022,Diesel,Diesel,750,196,16301,USA,SITE0151,rented,1645,18000,2022-01-12,2022-04-01,587,123701,Excellent,Leased,True,https://images.catrental.com/assets/dump-truck.jpg
MAC00016,QR-00016-MIE22T,RFID94437310,Liebherr HTM 1004 #0016,Concrete Mixer,Liebherr,HTM 1004,LIE2568383,2021,Diesel,Diesel,300,121,10133,India,SITE0173,rented,4938,8000,2022-05-15,2022-09-05,240,60331,Good,Owned,True,https://images.catrental.com/assets/concrete-mixer.jpg
MAC00017,QR-00017-AZ71UF,RFID23087728,Caterpillar 262D3 #0017,Skid Steer Loader,Caterpillar,262D3,CAT5658528,2024,Diesel,Diesel,100,106,5366,Germany,SITE0180,available,1256,9000,2022-04-18,2022-08-14,306,87482,Excellent,Owned,True,https://images.catrental.com/assets/skid-steer-loader.jpg
MAC00018,QR-00018-00N114,RFID67958238,Caterpillar D9T #0018,Bulldozer,Caterpillar,D9T,CAT2977634,2022,Diesel,Diesel,620,428,33005,Germany,SITE0065,rented,4338,15000,2022-10-24,2022-12-31,1277,323698,Good,Owned,True,https://images.catrental.com/assets/bulldozer.jpg
MAC00019,QR-00019-PZFZZ5,RFID81251601,Komatsu GD655-6 #0019,Motor Grader,Komatsu,GD655-6,KOM2819316,2019,Diesel,Diesel,415,336,15624,India,SITE0135,transit,5251,14000,2022-10-14,2023-03-29,476,125863,Good,Owned,False,https://images.catrental.com/assets/motor-grader.jpg
MAC00020,QR-00020-ONT75E,RFID27015981,JCB VMT 860 #0020,Road Roller,JCB,VMT 860,JCB4292858,2020,Diesel,Diesel,200,159,12752,USA,SITE0061,maintenance,10415,9000,2021-12-21,2022-02-24,482,104950,Excellent,Owned,False,https://images.catrental.com/assets/road-roller.jpg
MAC00021,QR-00021-SV5ITM,RFID82150950,Hyster H50FT #0021,Forklift,Hyster,H50FT,HYS1851580,2019,Diesel,LPG,55,64,4646,USA,SITE0112,available,10600,12000,2022-10-28,2023-02-26,232,40564,Excellent,Owned,True,https://images.catrental.com/assets/forklift.jpg
MAC00022,QR-00022-0LFJ4B,RFID11547478,Caterpillar 966M #0022,Wheel Loader,Caterpillar,966M,CAT2344809,2022,Diesel,Diesel,380,255,17754,India,SITE0169,maintenance,669,13000,2021-12-27,2022-07-14,354,93164,Fair,Owned,True,https://images.catrental.com/assets/wheel-loader.jpg
MAC00023,QR-00023-CW8AFM,RFID60874566,Caterpillar CS56B #0023,Road Roller,Caterpillar,CS56B,CAT7233398,2019,Diesel,Diesel,200,183,11280,Germany,SITE0094,rented,6713,9000,2022-11-11,2023-05-02,652,112066,Excellent,Owned,True,https://images.catrental.com/assets/road-roller.jpg
MAC00024,QR-00024-3KWBNB,RFID68343093,XCMG QY50KA #0024,Mobile Crane,XCMG,QY50KA,XCM3948175,2022,Electric-Hybrid,Diesel,500,453,35982,India,SITE0056,rented,4900,20000,2022-11-22,2023-02-28,967,189931,Excellent,Owned,True,https://images.catrental.com/assets/mobile-crane.jpg
MAC00025,QR-00025-FJILXN,RFID32848643,Hamm 3520 #0025,Road Roller,Hamm,3520,HAM7928527,2020,Electric-Hybrid,Diesel,200,180,11644,India,SITE0045,rented,6345,9000,2022-10-30,2023-02-27,278,55053,Good,Owned,True,https://images.catrental.com/assets/road-roller.jpg
MAC00026,QR-00026-EC275J,RFID80944243,JCB VMT 860 #0026,Road Roller,JCB,VMT 860,JCB4099866,2023,Diesel,Diesel,200,187,14364,USA,SITE0042,available,2229,9000,2022-02-15,2022-08-28,452,128107,Excellent,Leased,False,https://images.catrental.com/assets/road-roller.jpg
MAC00027,QR-00027-XOIYFO,RFID49614511,Ajax Fiori ARGO 4000 #0027,Concrete Mixer,Ajax Fiori,ARGO 4000,AJA9863760,2022,Diesel,Diesel,300,137,9871,USA,SITE0066,available,2816,8000,2022-06-21,2022-10-07,421,107567,Good,Owned,True,https://images.catrental.com/assets/concrete-mixer.jpg
MAC00028,QR-00028-8JQBO8,RFID94776255,Hyster H50FT #0028,Forklift,Hyster,H50FT,HYS6193974,2021,Electric-Hybrid,Diesel,55,65,5250,Australia,SITE0019,available,8275,12000,2022-09-13,2022-12-08,222,52672,Fair,Owned,True,https://images.catrental.com/assets/forklift.jpg
MAC00029,QR-00029-QL25S8,RFID81183035,Liebherr LTM 1050-3.1 #0029,Mobile Crane,Liebherr,LTM 1050-3.1,LIE2419467,2022,Diesel,Diesel,500,546,38942,India,SITE0097,rented,2996,20000,2021-12-23,2022-02-26,789,167847,Good,Owned,True,https://images.catrental.com/assets/mobile-crane.jpg
MAC00030,QR-00030-KX9KHH,RFID57655811,Caterpillar D8T #0030,Bulldozer,Caterpillar,D8T,CAT1629833,2022,Diesel,Diesel,620,442,22638,Australia,SITE0113,rented,4282,15000,2022-01-13,2022-06-09,1157,327844,Fair,Owned,True,https://images.catrental.com/assets/bulldozer.jpg
MAC00031,QR-00031-VHVWHH,RFID64357442,Caterpillar 420F #0031,Backhoe Loader,Caterpillar,420F,CAT1810848,2023,Diesel,Diesel,130,172,7014,India,SITE0167,rented,2145,10000,2022-10-29,2023-05-16,257,56186,Excellent,Owned,True,https://images.catrental.com/assets/backhoe-loader.jpg
MAC00032,QR-00032-2ZSA6H,RFID13566065,Crown SC 6000 #0032,Forklift,Crown,SC 6000,CRO7831640,2024,Diesel,Electric,55,61,5335,Germany,SITE0070,rented,1470,12000,2022-05-09,2022-11-13,223,47479,Excellent,Owned,False,https://images.catrental.com/assets/forklift.jpg
MAC00033,QR-00033-75YOVM,RFID17777252,JCB VMT 860 #0033,Road Roller,JCB,VMT 860,JCB7971116,2023,Diesel,Diesel,200,162,8031,India,SITE0146,rented,3208,9000,2022-03-01,2022-05-30,307,63460,Good,Leased,True,https://images.catrental.com/assets/road-roller.jpg
MAC00034,QR-00034-G07VSC,RFID70571378,Caterpillar 785C #0034,Dump Truck,Caterpillar,785C,CAT4266623,2022,Diesel,Diesel,750,180,11700,USA,SITE0003,rented,4349,18000,2022-10-21,2023-04-03,499,119448,Fair,Owned,True,https://images.catrental.com/assets/dump-truck.jpg
MAC00035,QR-00035-ROP2BY,RFID25638062,Grindex Major H #0035,Water Pump,Grindex,Major H,GRI4987082,2025,Diesel,Diesel,60,50,4154,India,SITE0157,maintenance,100,8000,2022-12-21,2023-05-16,83,15738,Fair,Leased,True,https://images.catrental.com/assets/water-pump.jpg
MAC00036,QR-00036-YC7H81,RFID44094915,Komatsu WA470-8 #0036,Wheel Loader,Komatsu,WA470-8,KOM3583553,2024,Diesel,Diesel,380,230,19082,Australia,SITE0088,rented,451,13000,2022-12-18,2023-05-25,853,143161,Excellent,Owned,True,https://images.catrental.com/assets/wheel-loader.jpg
MAC00037,QR-00037-0BI6AT,RFID70053039,SnowEx HDV #0037,Snow Plow,SnowEx,HDV,SNO5872117,2023,Attachment-No-Engine,Diesel,90,114,6496,Germany,SITE0179,maintenance,2375,6000,2022-04-07,2022-08-12,370,76826,Fair,Leased,True,https://images.catrental.com/assets/snow-plow.jpg
MAC00038,QR-00038-YA3S9U,RFID18702667,Volvo A40G #0038,Dump Truck,Volvo,A40G,VOL8575481,2021,Diesel,Diesel,750,178,9749,USA,SITE0013,rented,4187,18000,2022-01-24,2022-06-27,503,137884,Poor,Leased,True,https://images.catrental.com/assets/dump-truck.jpg
MAC00039,QR-00039-3X10Y1,RFID71230430,Volvo L120H #0039,Wheel Loader,Volvo,L120H,VOL5972962,2023,Diesel,Diesel,380,261,13603,India,SITE0063,rented,2767,13000,2022-03-13,2022-08-16,435,93202,Good,Owned,False,https://images.catrental.com/assets/wheel-loader.jpg
MAC00040,QR-00040-6D43I2,RFID67696791,Caterpillar CS56B #0040,Road Roller,Caterpillar,CS56B,CAT3938087,2020,Electric-Hybrid,Diesel,200,173,14704,India,SITE0103,rented,9242,9000,2022-03-15,2022-07-02,320,70114,Good,Owned,True,https://images.catrental.com/assets/road-roller.jpg
MAC00041,QR-00041-L70SHY,RFID90852772,Terex AC 100/4L #0041,Mobile Crane,Terex,AC 100/4L,TER4622315,2024,Diesel,Diesel,500,531,42716,India,SITE0097,rented,1205,20000,2022-05-19,2022-08-31,750,224867,Good,Owned,True,https://images.catrental.com/assets/mobile-crane.jpg
MAC00042,QR-00042-MT4FVM,RFID29677965,Caterpillar 966M #0042,Wheel Loader,Caterpillar,966M,CAT8283798,2024,Electric-Hybrid,Diesel,380,248,11481,Germany,SITE0094,available,1518,13000,2022-11-01,2023-02-05,897,209040,Good,Owned,True,https://images.catrental.com/assets/wheel-loader.jpg
MAC00043,QR-00043-3LM7E4,RFID45842449,Komatsu PC200-8 #0043,Excavator,Komatsu,PC200-8,KOM4192479,2022,Electric-Hybrid,Diesel,400,293,15817,Australia,SITE0113,available,4669,12000,2022-01-14,2022-04-21,983,200351,Good,Owned,True,https://images.catrental.com/assets/excavator.jpg
MAC00044,QR-00044-6O9E9N,RFID37119856,Caterpillar 428F #0044,Backhoe Loader,Caterpillar,428F,CAT7554404,2022,Diesel,Diesel,130,138,8054,India,SITE0004,available,1830,10000,2022-04-12,2022-09-30,223,51155,Fair,Leased,True,https://images.catrental.com/assets/backhoe-loader.jpg
MAC00045,QR-00045-BOGWHU,RFID69500546,Caterpillar 966M #0045,Wheel Loader,Caterpillar,966M,CAT6392076,2023,Electric-Hybrid,Diesel,380,246,11028,Australia,SITE0113,rented,2336,13000,2022-02-24,2022-05-13,726,155506,Good,Owned,True,https://images.catrental.com/assets/wheel-loader.jpg
MAC00046,QR-00046-YVMTD5,RFID93938382,JCB VMT 860 #0046,Road Roller,JCB,VMT 860,JCB7906275,2020,Electric-Hybrid,Diesel,200,188,14423,USA,SITE0140,transit,4842,9000,2022-10-21,2023-04-02,517,124929,Good,Leased,True,https://images.catrental.com/assets/road-roller.jpg
MAC00047,QR-00047-I78LZG,RFID56270369,Komatsu PC200-8 #0047,Excavator,Komatsu,PC200-8,KOM8614615,2023,Electric-Hybrid,Diesel,400,262,19694,Germany,SITE0008,rented,2989,12000,2022-09-21,2023-01-10,1113,196468,Excellent,Leased,True,https://images.catrental.com/assets/excavator.jpg
MAC00048,QR-00048-9LQT9N,RFID35553337,Case 580N #0048,Backhoe Loader,Case,580N,CAS9611651,2020,Diesel,Diesel,130,151,12766,India,SITE0173,rented,10761,10000,2022-05-29,2022-09-26,239,54555,Good,Owned,True,https://images.catrental.com/assets/backhoe-loader.jpg
MAC00049,QR-00049-KBQY3O,RFID81696670,Caterpillar 745C #0049,Dump Truck,Caterpillar,745C,CAT5620307,2019,Diesel,Diesel,750,207,15716,India,SITE0051,available,10853,18000,2022-11-13,2023-05-02,318,67098,Good,Owned,False,https://images.catrental.com/assets/dump-truck.jpg
MAC00050,QR-00050-WJ7PUM,RFID75941954,Komatsu D155A-6 #0050,Bulldozer,Komatsu,D155A-6,KOM2716946,2019,Electric-Hybrid,Diesel,620,383,25668,India,SITE0004,available,7045,15000,2022-04-01,2022-07-16,756,151970,Fair,Owned,True,https://images.catrental.com/assets/bulldozer.jpg
MAC00051,QR-00051-RZTWO7,RFID25971233,Komatsu D155A-6 #0051,Bulldozer,Komatsu,D155A-6,KOM1384511,2025,Electric-Hybrid,Diesel,620,407,19099,Germany,SITE0008,maintenance,100,15000,2022-03-13,2022-09-04,1322,294282,Good,Leased,True,https://images.catrental.com/assets/bulldozer.jpg
MAC00052,QR-00052-IMYDO5,RFID59129124,Caterpillar DE110E0 #0052,Generator,Caterpillar,DE110E0,CAT4027431,2021,Diesel,Diesel,220,91,5771,Germany,SITE0179,rented,7227,15000,2022-11-18,2023-03-01,292,51479,Excellent,Owned,True,https://images.catrental.com/assets/generator.jpg
MAC00053,QR-00053-UTYIWT,RFID83380336,Tadano ATF 60G-3 #0053,Mobile Crane,Tadano,ATF 60G-3,TAD1661606,2019,Diesel,Diesel,500,569,25354,Germany,SITE0038,maintenance,8701,20000,2022-06-11,2022-12-04,1647,391403,Fair,Leased,False,https://images.catrental.com/assets/mobile-crane.jpg
MAC00054,QR-00054-XKV4VT,RFID18860687,Volvo L120H #0054,Wheel Loader,Volvo,L120H,VOL5896725,2021,Diesel,Diesel,380,226,15244,Germany,SITE0009,rented,1877,13000,2022-08-25,2023-03-02,858,192722,Good,Leased,False,https://images.catrental.com/assets/wheel-loader.jpg
MAC00055,QR-00055-H1XAWJ,RFID20467889,Caterpillar 16M3 #0055,Motor Grader,Caterpillar,16M3,CAT9012822,2025,Diesel,Diesel,415,323,22459,Germany,SITE0078,rented,100,14000,2022-05-16,2022-10-22,1052,205627,Good,Owned,True,https://images.catrental.com/assets/motor-grader.jpg
MAC00056,QR-00056-UR02TY,RFID10087862,Grindex Major H #0056,Water Pump,Grindex,Major H,GRI9659004,2022,Electric-Hybrid,Diesel,60,53,3785,Australia,SITE0133,available,5354,8000,2022-10-26,2023-03-16,149,39411,Good,Owned,True,https://images.catrental.com/assets/water-pump.jpg
MAC00057,QR-00057-YG6G04,RFID46013628,Kohler 250REOZK #0057,Generator,Kohler,250REOZK,KOH1513955,2021,Diesel,Diesel,220,78,5713,Germany,SITE0180,rented,5012,15000,2022-03-15,2022-05-23,304,66417,Good,Owned,True,https://images.catrental.com/assets/generator.jpg
MAC00058,QR-00058-3H7T6U,RFID23838198,Caterpillar D8T #0058,Bulldozer,Caterpillar,D8T,CAT7566356,2023,Diesel,Diesel,620,400,22693,USA,SITE0112,available,1827,15000,2022-03-12,2022-07-18,1271,238455,Fair,Owned,True,https://images.catrental.com/assets/bulldozer.jpg
MAC00059,QR-00059-8HZMVY,RFID23719833,Sykes CP150 #0059,Water Pump,Sykes,CP150,SYK7772146,2025,Diesel,Diesel,60,55,4364,Germany,SITE0111,rented,100,8000,2022-03-12,2022-06-23,156,35840,Fair,Owned,True,https://images.catrental.com/assets/water-pump.jpg
MAC00060,QR-00060-3IGWEY,RFID78761110,Ajax Fiori ARGO 4000 #0060,Concrete Mixer,Ajax Fiori,ARGO 4000,AJA5820173,2025,Diesel,Diesel,300,150,6679,USA,SITE0177,rented,100,8000,2022-07-20,2023-01-20,361,94465,Good,Owned,True,https://images.catrental.com/assets/concrete-mixer.jpg
MAC00061,QR-00061-LQLLD0,RFID59138468,Putzmeister TMM 24-4 #0061,Concrete Mixer,Putzmeister,TMM 24-4,PUT2479872,2024,Diesel,Diesel,300,147,8855,Germany,SITE0012,available,1166,8000,2022-06-13,2022-10-29,444,85610,Good,Owned,True,https://images.catrental.com/assets/concrete-mixer.jpg
MAC00062,QR-00062-82BMQW,RFID26376401,Komatsu HD465-7 #0062,Dump Truck,Komatsu,HD465-7,KOM5755985,2020,Electric-Hybrid,Diesel,750,190,13241,Australia,SITE0159,available,9248,18000,2022-02-05,2022-05-03,640,151016,Fair,Owned,True,https://images.catrental.com/assets/dump-truck.jpg
MAC00063,QR-00063-O85VO1,RFID82331933,Tsurumi HS3.75S #0063,Water Pump,Tsurumi,HS3.75S,TSU8183194,2024,Electric-Hybrid,Diesel,60,48,4190,India,SITE0089,rented,1885,8000,2022-10-22,2023-03-15,78,17956,Fair,Owned,False,https://images.catrental.com/assets/water-pump.jpg
MAC00064,QR-00064-SKWECY,RFID54599850,Komatsu D155A-6 #0064,Bulldozer,Komatsu,D155A-6,KOM3982571,2021,Diesel,Diesel,620,373,33318,Australia,SITE0105,maintenance,6081,15000,2022-07-22,2022-12-02,1498,300853,Excellent,Leased,True,https://images.catrental.com/assets/bulldozer.jpg
MAC00065,QR-00065-CAMBHW,RFID84564128,Tadano ATF 60G-3 #0065,Mobile Crane,Tadano,ATF 60G-3,TAD6324701,2019,Diesel,Diesel,500,535,28887,India,SITE0150,rented,7280,20000,2022-11-02,2023-03-25,901,171439,Good,Owned,True,https://images.catrental.com/assets/mobile-crane.jpg
MAC00066,QR-00066-62ZKO0,RFID27412946,Hyster H50FT #0066,Forklift,Hyster,H50FT,HYS8533043,2022,Diesel,Electric,55,76,5111,USA,SITE0016,maintenance,3668,12000,2022-09-09,2023-02-24,239,52366,Excellent,Leased,True,https://images.catrental.com/assets/forklift.jpg
MAC00067,QR-00067-HF4AKD,RFID60621065,Komatsu D155A-6 #0067,Bulldozer,Komatsu,D155A-6,KOM3118885,2022,Diesel,Diesel,620,448,27352,India,SITE0030,rented,5376,15000,2022-09-25,2022-12-10,739,170833,Good,Owned,True,https://images.catrental.com/assets/bulldozer.jpg
MAC00068,QR-00068-RL0NWR,RFID60856386,Grindex Major H #0068,Water Pump,Grindex,Major H,GRI6873497,2021,Diesel,Diesel,60,55,4369,India,SITE0178,rented,3664,8000,2022-10-02,2023-01-16,90,20554,Good,Owned,True,https://images.catrental.com/assets/water-pump.jpg
MAC00069,QR-00069-XGQHPZ,RFID39161475,John Deere 672G #0069,Motor Grader,John Deere,672G,JOH3028864,2020,Diesel,Diesel,415,341,26002,Germany,SITE0147,rented,8691,14000,2022-09-29,2023-03-20,906,194038,Excellent,Owned,True,https://images.catrental.com/assets/motor-grader.jpg
MAC00070,QR-00070-ITIFXZ,RFID42819076,Hyster H50FT #0070,Forklift,Hyster,H50FT,HYS6086827,2025,Diesel,LPG,55,69,3924,USA,SITE0115,rented,106,12000,2022-01-29,2022-04-18,227,50297,Good,Owned,True,https://images.catrental.com/assets/forklift.jpg
MAC00071,QR-00071-U8RZE6,RFID91014816,JCB JS205 #0071,Excavator,JCB,JS205,JCB5259672,2021,Electric-Hybrid,Diesel,400,255,20030,Australia,SITE0119,rented,6366,12000,2022-07-14,2022-11-17,808,186307,Excellent,Owned,True,https://images.catrental.com/assets/excavator.jpg
MAC00072,QR-00072-IF31D2,RFID63302112,Crown SC 6000 #0072,Forklift,Crown,SC 6000,CRO9706450,2023,Diesel,Electric,55,63,3112,USA,SITE0054,rented,2444,12000,2022-07-17,2022-10-20,222,41170,Fair,Owned,True,https://images.catrental.com/assets/forklift.jpg
MAC00073,QR-00073-MIT727,RFID15427468,John Deere 672G #0073,Motor Grader,John Deere,672G,JOH9629101,2022,Diesel,Diesel,415,271,26702,Germany,SITE0065,rented,4505,14000,2022-09-15,2023-02-17,994,234694,Good,Owned,True,https://images.catrental.com/assets/motor-grader.jpg
MAC00074,QR-00074-2XG770,RFID99121694,Caterpillar 785C #0074,Dump Truck,Caterpillar,785C,CAT1383201,2019,Diesel,Diesel,750,169,9890,Germany,SITE0179,rented,9573,18000,2022-09-15,2022-12-07,574,157600,Fair,Owned,True,https://images.catrental.com/assets/dump-truck.jpg
MAC00075,QR-00075-VEOW0E,RFID31126481,Tsurumi HS3.75S #0075,Water Pump,Tsurumi,HS3.75S,TSU2559093,2021,Diesel,Diesel,60,55,4328,Germany,SITE0180,transit,6200,8000,2022-03-03,2022-09-06,158,37680,Good,Leased,True,https://images.catrental.com/assets/water-pump.jpg
MAC00076,QR-00076-WBEM0T,RFID68738639,Caterpillar 966M #0076,Wheel Loader,Caterpillar,966M,CAT3029318,2019,Diesel,Diesel,380,221,17041,India,SITE0052,available,10934,13000,2022-09-30,2022-12-09,358,84956,Excellent,Owned,True,https://images.catrental.com/assets/wheel-loader.jpg
MAC00077,QR-00077-F2GDAU,RFID62986971,Sykes CP150 #0077,Water Pump,Sykes,CP150,SYK2738615,2022,Diesel,Diesel,60,56,4184,India,SITE0002,available,3572,8000,2021-11-29,2022-06-10,94,21793,Good,Owned,True,https://images.catrental.com/assets/water-pump.jpg
MAC00078,QR-00078-30A7ZU,RFID56337164,JCB JS205 #0078,Excavator,JCB,JS205,JCB2107591,2022,Diesel,Diesel,400,310,20189,USA,SITE0100,available,7465,12000,2022-07-05,2022-12-09,858,211356,Fair,Owned,True,https://images.catrental.com/assets/excavator.jpg
MAC00079,QR-00079-4JC0FF,RFID74673141,Caterpillar 349F #0079,Excavator,Caterpillar,349F,CAT4556981,2022,Diesel,Diesel,400,284,17363,India,SITE0090,rented,3696,12000,2021-12-06,2022-03-09,475,109623,Excellent,Owned,True,https://images.catrental.com/assets/excavator.jpg
MAC00080,QR-00080-IEKX6M,RFID45039128,Hitachi ZX350 #0080,Excavator,Hitachi,ZX350,HIT7917936,2023,Diesel,Diesel,400,313,21476,USA,SITE0061,available,1045,12000,2022-03-04,2022-05-08,873,165335,Excellent,Leased,True,https://images.catrental.com/assets/excavator.jpg
MAC00081,QR-00081-P2WNV2,RFID56712081,Komatsu PC200-8 #0081,Excavator,Komatsu,PC200-8,KOM7183513,2021,Diesel,Diesel,400,275,23504,India,SITE0110,maintenance,5037,12000,2022-03-18,2022-09-09,554,124658,Excellent,Leased,True,https://images.catrental.com/assets/excavator.jpg
MAC00082,QR-00082-H30OIQ,RFID47066908,Caterpillar 12M3 #0082,Motor Grader,Caterpillar,12M3,CAT1649788,2019,Diesel,Diesel,415,306,19221,Germany,SITE0179,rented,11248,14000,2022-04-12,2022-07-12,1119,233476,Excellent,Owned,True,https://images.catrental.com/assets/motor-grader.jpg
MAC00083,QR-00083-DSODBZ,RFID54578981,Komatsu PC200-8 #0083,Excavator,Komatsu,PC200-8,KOM8775490,2018,Diesel,Diesel,400,323,23115,USA,SITE0158,rented,10056,12000,2022-01-05,2022-03-21,1013,212790,Poor,Leased,True,https://images.catrental.com/assets/excavator.jpg
MAC00084,QR-00084-4YQZVR,RFID37455833,Caterpillar DE110E0 #0084,Generator,Caterpillar,DE110E0,CAT9920306,2023,Diesel,Diesel,220,86,5001,India,SITE0055,transit,2861,15000,2022-09-29,2023-02-25,147,26012,Fair,Leased,True,https://images.catrental.com/assets/generator.jpg
MAC00085,QR-00085-MCIE4A,RFID17728375,Caterpillar D11T #0085,Bulldozer,Caterpillar,D11T,CAT2324282,2025,Diesel,Diesel,620,400,25660,India,SITE0081,rented,100,15000,2022-05-22,2022-08-28,770,172110,Good,Owned,True,https://images.catrental.com/assets/bulldozer.jpg
MAC00086,QR-00086-VT7CZ1,RFID94701395,Komatsu PC200-8 #0086,Excavator,Komatsu,PC200-8,KOM5407277,2022,Diesel,Diesel,400,295,16766,Germany,SITE0138,available,3585,12000,2022-12-12,2023-02-15,1097,213299,Fair,Owned,True,https://images.catrental.com/assets/excavator.jpg
MAC00087,QR-00087-9WXHVY,RFID65643484,Caterpillar 745C #0087,Dump Truck,Caterpillar,745C,CAT9878299,2024,Electric-Hybrid,Diesel,750,192,14436,India,SITE0063,rented,1483,18000,2022-04-21,2022-09-29,347,64490,Fair,Leased,True,https://images.catrental.com/assets/dump-truck.jpg
MAC00088,QR-00088-G08YVU,RFID25292558,Ingersoll Rand P185WJD #0088,Air Compressor,Ingersoll Rand,P185WJD,ING8329860,2022,Electric-Hybrid,Diesel,120,66,2880,USA,SITE0139,available,4337,10000,2022-10-03,2023-02-22,174,37876,Excellent,Leased,True,https://images.catrental.com/assets/air-compressor.jpg
